Position,Track Name,Artist,URL
1,WAP (feat. Megan Thee Stallion),Cardi B,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
2,Mad at Disney,salem ilese,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
3,BOY,TREASURE,https://open.spotify.com/track/6SqOpxXMMS8axhJoqz8Nel
4,Mood (feat. Iann Dior),24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
5,Kabilang Buhay,Bandang Lapis,https://open.spotify.com/track/0knRQzgvbUed6K74mX81hG
6,Backyard Boy,Claire Rosinkranz,https://open.spotify.com/track/0QpOqKz66ZxHNqj2PPHiFF
7,Heather,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
8,Hawái,Maluma,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
9,3 Musketeers,NextYoungin,https://open.spotify.com/track/57Oi4yqY27uJzCyqFWIP5q
10,Di Sepertiga Malam,Rey Mbayang,https://open.spotify.com/track/7p0buX4yhbZxCnq7Bou2Yq
11,Eyes Blue Like The Atlantic (feat. Subvrbs),Sista Prod,https://open.spotify.com/track/0qUcpOOna3kkrwfqky85e1
12,ぎゅっと。,もさを。,https://open.spotify.com/track/6nqfKM9JvQIiuAuzWZFvGW
13,Overwhelmed,Royal & the Serpent,https://open.spotify.com/track/5jjZikDrEd0by1o7V3fO4y
14,Ashes,Stellar,https://open.spotify.com/track/2NeyJbL3ROKCjRkAjs77ya
15,"Lost Me (feat. Lil Mosey, iann dior & Lil Skies)",Internet Money,https://open.spotify.com/track/4nTIY6vSiw19IzzPKKqCU9
16,NUNU NANA,Jessi,https://open.spotify.com/track/4Bmk7JYOquhWmSMMW4WebM
17,キンモクセイ,オレンジスパイニクラブ,https://open.spotify.com/track/4KyCrwLEWoGHJwobxc55oe
18,Sola - Neuen Live Sessions - En Vivo,Tiago PZK,https://open.spotify.com/track/4P1T0qUkqIVuByWA8i1SQV
19,F2020,Avenue Beat,https://open.spotify.com/track/7opTGnWVJcm1e5mWWOldpg
20,Mi Cuarto,Jerry Di,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
21,So Voce,MC Rogerinho,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o
22,Nimet,Didomido,https://open.spotify.com/track/3917xM4PvycBOYacEeJfXt
23,my ex's best friend (with blackbear),Machine Gun Kelly,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w
24,Mood Swings (feat. Lil Tjay),Pop Smoke,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
25,Cuek,Rizky Febian,https://open.spotify.com/track/4sCabvmZpbmfoCNcoCSKEX
26,DDLG,ppcocaine,https://open.spotify.com/track/42dtq3bqOCzD0L2kITk4Dp
27,Jerusalema (feat. Nomcebo Zikode),Master KG,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
28,DESSERT,HYO,https://open.spotify.com/track/6u0pZe0Uv7GBR0iKptfWRf
29,PJ,ppcocaine,https://open.spotify.com/track/1qxnmVbl8To9W9BcbTS8yC
30,Smile (with The Weeknd),Juice WRLD,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
31,Such a Whore (Stellular Remix),Jvla,https://open.spotify.com/track/6A25J9As7towpxovYryAWr
32,Pain,Nessa Barrett,https://open.spotify.com/track/1vwTCUJxmGlTuClU5YLfJA
33,Head & Heart (feat. MNEK),Joel Corry,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
34,Oh Juliana,Niack,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
35,Still Don't Know My Name,Labrinth,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
36,Aku Yang Salah,Elmatu,https://open.spotify.com/track/07kS6GzBPkGUMmfgQUfMbE
37,Mamichula - con Nicki Nicole,Trueno,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM
38,Mr Loverman,Ricky Montgomery,https://open.spotify.com/track/594dAKfWYKj53Usd6DTbUs
39,Electric Love,BØRNS,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
40,Stuck in the Middle,Tai Verdes,https://open.spotify.com/track/2HQPOVBAOU2EBTy1nBGRiW
41,you broke me first,Tate McRae,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
42,TWIST & TURN (feat. Drake & PARTYNEXTDOOR),Popcaan,https://open.spotify.com/track/24SDeYAeTFda8OUzVI1VR6
43,Figurinha - Ao Vivo,Douglas & Vinicius,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE
44,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",Super Yei,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
45,夜に駆ける,YOASOBI,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js
46,Maria,Hwa Sa,https://open.spotify.com/track/2kqnQCChvRpDRAasIwc4Rh
47,Maafkan Aku #terlanjurmencinta,Tiara Andini,https://open.spotify.com/track/0ZoBl7pWhdjnj4eIe9I11o
48,感電,Kenshi Yonezu,https://open.spotify.com/track/1rd3RSjrOShIUG8rG9FvDI
49,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
50,Kismet,XIX,https://open.spotify.com/track/24hPnL2Yr82INEk0YUWCJr